id,followers,following,message_out,message_in,membership,level,region,gold,silver,bronze,hm
174,33,47,67,136,silver,"topaz horse",Pennsylvania,0,0,1,0
175,138,39,1119,456,gold,"pyrite eye",New York,8,6,7,33
176,6,8,20,19,Free,"topaz horse",Colorado,0,0,0,0
177,310,496,943,1150,Free,"citrine experience",Texas,1,3,4,6
178,29,104,105,38,Free,"emerald cat",Pennsylvania,0,0,0,0
179,161,156,1756,1212,Free,"perfect palomino",California,0,2,5,10
180,556,91,29210,14309,silver,"lyric diamond",,167,127,100,229
181,58,54,173,291,Free,"carnelian hope",,0,7,3,14
182,124,60,499,1223,silver,None,Rhode Island,12,12,12,48
183,121,46,913,741,silver,"carnelian hope",Washington,4,5,4,14
184,76,57,401,379,Free,"aventurine thought",None,0,1,2,4
185,430,237,3273,8436,silver,"new dragon",Kentucky,189,226,226,536
186,59,51,132,135,gold,"perfect palomino",,5,2,2,4
187,18,63,29,55,Free,"topaz horse",,0,0,0,0
188,69,88,2790,3336,gold,"topaz horse",California,4,5,3,6
189,250,458,1300,1772,gold,"supertopaz delight",Florida,10,14,16,128
190,12,13,16,31,Free,"emerald cat",Pennsylvania,0,0,0,0
191,224,150,231,1410,gold,None,Florida,0,0,0,0
192,323,632,550,1494,Free,"citrine experience",Kansas,30,19,21,60
193,24,28,69,57,Free,"perfect palomino",Florida,0,0,1,1
194,43,23,297,345,Free,"stunning sphinx",Arizona,1,0,0,0
195,48,50,701,627,silver,"topaz horse",None,2,6,4,9
196,355,207,10372,14305,Free,"perfect palomino",None,64,66,59,179
197,3,4,3,4,Free,"emerald cat",,0,0,0,0
198,85,89,307,400,silver,"perfect palomino",,2,8,5,15
199,388,72,304,9070,gold,"perfect palomino",New Jersey,265,340,422,1585
200,14,11,83,63,silver,"aventurine thought",,2,1,2,2
201,251,240,235,1943,gold,"diamond love",,44,44,52,166
202,199,228,1536,1018,Free,"perfect palomino",Alabama,0,0,0,3
203,108,169,566,581,Free,"aventurine thought",Texas,0,2,1,3
204,90,88,117,657,gold,"perfect palomino",Virginia,1,0,1,4
205,35,78,478,179,Free,"topaz horse",None,0,0,0,0
206,76,162,637,257,Free,"emerald cat",,0,0,0,0
207,5,6,22,14,Free,"topaz horse",,0,0,0,0
208,28,20,182,102,Free,"topaz horse",,0,0,0,0
209,272,107,2716,3188,gold,"hidden phosphate",Missouri,57,49,48,134
210,78,63,1098,779,gold,"jade dragon",,9,7,5,28
211,78,138,337,379,Free,"diamond love",Florida,6,9,6,28
212,328,268,8110,2523,gold,"top gun",Wisconsin,66,70,63,154
213,39,50,182,132,Free,"perfect palomino",None,0,0,1,8
214,547,216,4294,4593,Free,"dancing dragon",Missouri,63,88,88,340
215,443,408,4936,4830,gold,"new dragon",Tennessee,19,19,25,88
216,62,177,295,156,Free,"topaz horse",Kentucky,0,0,0,0
217,1684,848,30616,26441,gold,"cloaked shadow",New Jersey,205,171,143,334
218,42,18,226,277,Free,"perfect palomino",Illinois,2,5,2,8
219,51,109,183,246,gold,"perfect palomino",Minnesota,0,0,1,3
220,30,31,101,77,Free,"topaz horse",None,0,0,0,5
221,21,51,83,88,Free,"peridot parrot",,1,1,0,5
222,43,204,38,53,Free,"stunning sphinx",None,0,0,0,1
223,100,235,153,164,Free,"perfect palomino",None,1,0,4,5
224,41,26,217,131,Free,"aventurine thought",,1,2,1,4
225,56,52,376,254,Free,"perfect palomino",Texas,2,0,1,0
226,5,7,13,8,Free,"emerald cat",Illinois,0,0,0,0
227,83,33,353,683,Free,"malachite opening",None,8,4,7,41
228,159,302,806,789,Free,"malachite opening",Texas,2,7,6,19
229,8,8,96,75,Free,"emerald cat",North Carolina,0,0,0,0
230,283,322,2257,1089,gold,"perfect palomino",Alaska,1,0,0,1
231,980,1535,5841,7320,gold,"midnight moon",Pennsylvania,18,34,27,186
232,126,132,1076,1266,Free,"perfect palomino",,12,15,15,56
233,165,96,1482,2011,Free,"screaming dragon",None,65,60,70,211
234,1606,3399,9452,12836,silver,"perfect palomino",None,45,71,92,370
235,178,482,289,553,silver,"perfect palomino",New Jersey,1,1,1,5
236,184,261,171,249,Free,"topaz horse",,0,1,0,1
237,458,522,4918,3730,gold,"obsidian idea",Colorado,0,1,1,16
238,407,314,4170,3714,Free,"stunning sphinx",,0,0,0,1
239,50,39,4,354,Free,"emerald cat",New York,1,0,0,0
240,8,8,28,19,Free,"emerald cat",,0,0,0,0
241,131,124,2873,7729,gold,"aventurine thought",,104,88,58,70
242,21,49,35,48,Free,"stunning sphinx",None,0,1,0,1
243,386,275,7166,4978,Free,"bombsquad trampoline",None,284,269,181,358
244,71,62,1074,435,silver,"whimsical widget",None,4,6,4,18
245,737,368,31676,16244,silver,"tomorrow tortoise",,159,173,171,472
246,262,88,1309,2731,gold,"surreal skittle",,71,73,75,223
247,11,5,33,29,Free,"topaz horse",None,0,0,0,0
248,2,3,5,7,Free,"emerald cat",None,0,0,0,0
249,91,87,339,353,Free,"lapis-lazuli dream",,3,3,6,21
250,34,9,231,146,Free,"perfect palomino",None,0,1,1,1
251,10,8,40,43,Free,"perfect palomino",,0,0,1,1
252,89,53,1076,683,silver,None,None,0,0,0,0
253,11,34,37,24,Free,"emerald cat",None,0,0,0,0
254,72,35,260,461,gold,"diamond love",Michigan,4,7,3,12
255,1139,1154,3257,27943,gold,"top gun",Virginia,470,532,690,2835
256,502,918,1705,2081,gold,"pyrite eye",,5,11,7,30
257,56,30,94,198,silver,"topaz horse",Missouri,0,0,0,0
258,29,102,86,119,Free,"stunning sphinx",,0,0,0,1
259,82,106,530,666,Free,"perfect palomino",,8,10,6,30
260,85,14,324,219,Free,"topaz horse",Maryland,0,0,0,0
261,262,795,141,425,Free,"aventurine thought",Kansas,7,6,12,20
262,1838,2494,19366,2426,silver,"aventurine thought",Washington,25,23,30,165
263,326,480,4878,5438,Free,"dancing dragon",,41,48,57,242
264,181,429,499,495,gold,"topaz horse",New Mexico,0,0,0,0
265,12,16,108,31,Free,"emerald cat",,0,0,0,0
266,48,146,88,65,Free,"stunning sphinx",,0,0,1,0
267,41,59,189,196,Free,"aventurine thought",None,0,0,1,5
268,76,83,131,451,silver,"perfect palomino",Montana,0,0,0,2
269,57,19,62,139,Free,"stunning sphinx",,0,0,0,1
270,114,77,267,779,silver,"aventurine thought",,8,9,8,50
