id,followers,following,message_out,message_in,membership,level,region,gold,silver,bronze,hm
371,11,9,39,34,Free,"topaz horse",,0,0,0,0
372,480,286,9901,16288,gold,"faded parchment",,244,313,259,759
373,113,126,656,789,gold,"perfect palomino",Texas,0,0,0,0
374,65,178,303,209,Free,"perfect palomino",None,0,0,1,1
375,8,5,30,40,Free,"stunning sphinx",,0,1,1,2
376,123,231,61,537,Free,"emerald cat",None,0,0,0,0
377,353,274,1345,3440,gold,"malachite opening",Florida,1,3,2,17
378,383,112,507,2747,Free,"citrine experience",None,69,55,58,122
379,8,22,21,17,Free,"topaz horse",None,0,0,0,0
380,450,268,10140,8389,Free,"unkept fire",,70,75,123,698
381,147,454,516,371,Free,"topaz horse",,0,0,0,0
382,312,101,4231,2996,Free,None,None,0,0,0,0
383,8,6,41,33,Free,"topaz horse",,0,0,0,0
384,20,66,51,55,Free,"perfect palomino",,1,1,0,4
385,915,484,16020,21506,gold,"wicked winner",Florida,0,0,0,0
386,34,51,333,159,Free,"supertopaz delight",None,1,2,1,9
387,284,317,85,3179,silver,"topaz horse",Kentucky,0,0,0,1
388,276,451,1211,1265,Free,"pyrite eye",Pennsylvania,10,10,13,57
389,404,854,1224,1397,Free,"tigereye texture",Texas,10,10,10,19
390,15,9,44,125,silver,"perfect palomino",None,1,1,1,2
391,61,43,21,486,Free,"topaz horse",Ohio,1,1,1,4
392,12,13,39,37,Free,"perfect palomino",,1,1,1,2
393,155,161,1811,732,silver,"aventurine thought",,1,1,3,13
394,467,543,9155,6437,gold,"hidden phosphate",None,149,143,105,270
395,5,7,48,33,Free,"emerald cat",,0,0,0,0
396,188,160,3266,2888,silver,"white rain",,32,32,40,122
397,16,11,80,80,Free,"perfect palomino",,0,0,0,3
398,473,103,7380,9315,Free,"perfect palomino",,0,0,0,0
399,547,1455,2191,3138,silver,"emerald cat",None,0,0,0,0
400,502,499,4874,4557,Free,"sunlit memory",Pennsylvania,46,49,50,122
401,98,58,1001,699,Free,"lyric diamond",,12,19,22,67
